,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
46,一攫千金,['n'],いっかくせんきん,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],攫,1030,23,[],[],"['又', '目', '扌', '隹']",,,,,,,,千,289,3,"[' 1,000/thousand]']",['せん'],"['ノ', '十']",['千'],[1],['形声 Phonetic'],[5],[132016],[36665],['R'],金,2461,8,"[' money metal,', ' gold (Au)/golden (color)/gold (medal, cup) valuable/of highest value money/gold coin Friday metal (fourth of the five elements) Jin dynasty (China, 1115-1234)/Chin dynasty/Jurchen dynasty gold general testicles karat/carat,', ' gold gold coin gold colour (color)]']","['かね', 'きん', 'こがね']",['金'],['金'],[1],['象形 Pictographic'],[5],[589350],[516324],['S'],一攫,[' one grab]'],['いっかく'],一攫,[' one grab]'],['いっかく']
48,落花狼藉,['n'],らっかろうぜき,落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S'],花,2007,7,[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely]'],['はな'],"['⺅', '匕', '⺾']",['花'],[1],['形声 Phonetic'],[4],[69449],[48962],['R'],狼,1522,10,"["" wolf (Canis lupus) wolf in sheep's clothing/womanizer]""]",['おおかみ'],"['艮', '犭']",,,,,,,,藉,2073,17,[],[],"['｜', '一', '二', '日', 'ハ', '木', '耒', '⺾']",,,,,,,,落花,[' falling petals]'],['らっか'],落花,[' falling petals]'],['らっか']
49,乾坤一擲,['n'],けんこんいってき,乾,32,11,"[' drying/dried,', ' qian (one of the trigrams of the I Ching', ' heaven, northwest),', ' northwest]']","['ほし', 'し', 'けん', 'いぬい']","['乙', '十', '日']",['乾'],[7],['会意 Com. Ideographic'],[2],[7656],[7077],['R'],坤,459,8,"[' kun (one of the trigrams of the I Ching', ' earth, southwest),', ' southwest]']","['こん', 'ひつじさる']","['｜', '土', '日', '田']",,,,,,,,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],擲,1025,18,[],[],"['大', '酉', '并', '⻏', '扌']",,,,,,,,乾坤,[' heaven and earth/universe]'],['けんこん'],乾坤,[' heaven and earth/universe]'],['けんこん']
52,精励恪勤,"['n,vs']",せいれいかっきん,精,1802,14,[' spirit/sprite/nymph energy/vigor (vigour)/strength fine details semen]'],['せい'],"['月', '青', '土', '二', '米', '亠']",['精'],[5],['形声 Phonetic'],[3],[55290],[53008],['R'],励,260,7,[],[],"['斤', '力', '厂']",['励'],[7],['形声 Phonetic'],[1],[16174],[16101],['S'],恪,824,9,[],[],"['口', '忄', '夂']",,,,,,,,勤,273,12,[],[],"['土', '力', '⺾', '口']",['勤'],[6],['形声 Phonetic'],[3],[36276],[33539],['S'],精励,[' diligence/industry/assiduity/hard work]'],['せいれい'],精励,[' diligence/industry/assiduity/hard work]'],['せいれい']
53,切磋琢磨,"['n,vs']",せっさたくま,切,221,4,"[' eager/earnest/ardent/kind/keen/acute OFF (on switch),', ' end/finish/stop bounds/limits delivery date (of a futures contract) finale (of a noh song)/end of an act (in jōruri or kabuki)/final performance of the day (in vaudeville) counter for slices (esp. thick slices)/counter for cuts (e.g. fish, meat) only/just since/after remaining (in a particular state)]']","['せつ', 'きり', 'り']","['刀', '匕']",['切'],[2],['会意 Com. Ideographic'],[4],[205574],[204798],['S'],磋,1682,15,[],[],"['王', '口', '工', '石', '并', '羊']",,,,,,,,琢,1551,11,[],[],"['王', '豕']",,,,,,,,磨,1684,16,[],[],"['口', '石', '木', '广', '麻']",['磨'],[7],['形声 Phonetic'],[2],[11687],[6335],['S'],切磋,"["" working hard/applying oneself/cultivating one's character (through hard work or study) polishing (stones)]""]",['せっさ'],切磋,"["" working hard/applying oneself/cultivating one's character (through hard work or study) polishing (stones)]""]",['せっさ']
54,切歯扼腕,"['n,vs']",せっしやくわん,切,221,4,"[' eager/earnest/ardent/kind/keen/acute OFF (on switch),', ' end/finish/stop bounds/limits delivery date (of a futures contract) finale (of a noh song)/end of an act (in jōruri or kabuki)/final performance of the day (in vaudeville) counter for slices (esp. thick slices)/counter for cuts (e.g. fish, meat) only/just since/after remaining (in a particular state)]']","['せつ', 'きり', 'り']","['刀', '匕']",['切'],[2],['会意 Com. Ideographic'],[4],[205574],[204798],['S'],歯,1262,12,"[' tooth,', "" (one's) age,"", ' tooth age/years]']","['は', 'よわい', 'し']","['止', '歯', '米', '凵']",['歯'],[3],['形声 Phonetic'],[3],[23542],[20784],['S'],扼,925,7,[],[],"['卩', '厂', '扌']",,,,,,,,腕,1964,12,"[' arm skill/efforts/ability,', ' arm (esp. upper arm) counter used to measure the thickness of round objects]']","['うで', 'かいな']","['月', '夕', '卩', '宀']",['腕'],[7],['形声 Phonetic'],[2],[23727],[23726],['S'],切歯,"["" incisor (esp. in humans) grinding one's teeth/bruxism/gnashing of teeth]""]",['せっし'],切歯,"["" incisor (esp. in humans) grinding one's teeth/bruxism/gnashing of teeth]""]",['せっし']
55,一家団欒,"['n,vs']",いっかだんらん,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],家,602,10,"[' house/residence/dwelling family/household lineage/family name,', "" house one's house/one's home/one's family/one's household,"", ' house (e.g. of Tokugawa)/family,', ' (something) shop somebody who sells (something) or works as (something) somebody with a (certain) personality trait house roof,', ' -ist/-er,', "" 's house/'s home]""]","['いえ', 'うち', 'け', 'や', 'か', 'んち', 'ん']","['宀', '豕']",['家'],[2],['会意 Com. Ideographic'],[4],[390197],[378801],['S'],団,440,6,[' body/group/party/company/troupe]'],['だん'],"['寸', '囗']",['団'],[5],['形声 Phonetic'],[2],[232277],[215789],['P'],欒,1249,23,[],[],"['言', '糸', '幺', '小', '木']",,,,,,,,一家,"["" a family/a household/a home/one's family/whole family (one's own) style/school gang/(yakuza) family]""]",['いっか'],一家,"["" a family/a household/a home/one's family/whole family (one's own) style/school gang/(yakuza) family]""]",['いっか']
58,横行闊歩,"['n,vs']",おうこうかっぽ,横,1239,15,"[' horizontal (as opposed to vertical)/lying down side-to-side (as opposed to front-to-back)/width/breadth side (of a box, etc.) beside/aside/next to unconnected]']",['よこ'],"['｜', '黄', '田', '二', '日', 'ハ', '木', '廾']",['横'],[3],['形声 Phonetic'],[3],[138234],[45375],['R'],行,2122,6,"[' line (of text)/row/verse carya (austerities) samskara (formations) semi-cursive style (of writing Chinese characters)/running style,', "" going/travelling/traveling/journey/trip act/action bank counter for banks counter for groups or parties of people type of classical Chinese verse (usu. an epic from the Tang period onwards) shopping district (of similar merchants; in the Sui and Tang periods) merchants' guild (in the Tang period)]""]","['ぎょう', 'こう']","['行', '彳']",['行'],[2],['象形 Pictographic'],[5],[750313],[708761],['P'],闊,2510,17,[],[],"['口', '氵', '舌', '門']",,,,,,,,歩,1261,8,"[' pawn,', ' step/stride counter for steps,', "" walking pace/step course (of history, one's life, etc.)/history/progress/advance/development pitch (of a screw, etc.),"", ' bu/traditional unit of area, approx.31 square metres commission/percentage exactly/precisely,', ' foot soldier (Edo period)/samurai on foot going on foot/walking]']","['ふ', 'ほ', 'あゆみ', 'み', 'ぶ', 'かち']","['ノ', '止', '小']",['歩'],[2],['会意 Com. Ideographic'],[4],[117776],[115865],['S'],横行,[' walking sideways/staggering/striding being rampant/being widespread/being prevalent]'],['おうこう'],横行,[' walking sideways/staggering/striding being rampant/being widespread/being prevalent]'],['おうこう']
61,櫛風沐雨,['n'],しっぷうもくう,櫛,1247,17,[' comb]'],['くし'],"['艮', '竹', '木', '卩']",,,,,,,,風,2623,9,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']","['風', '冂', '虫', 'ノ']",['風'],[2],['形声 Phonetic'],[4],[98812],[95284],['S'],沐,1307,7,[],[],"['氵', '木']",,,,,,,,雨,2562,8,[' rain rainy day/rainy weather the November suit (in hanafuda)]'],['あめ'],['雨'],['雨'],[1],['象形 Pictographic'],[5],[27122],[26169],['S'],櫛風,[],[],櫛風,[],[]
67,自由闊達,"['n,adj-na']",じゆうかったつ,自,1981,6,[' self- from ... this ... (in contrast to some other ...)/aforementioned]'],['じ'],['自'],['自'],[2],['象形 Pictographic'],[4],[810019],[621663],['R'],由,1572,5,[' reason/significance/cause piece of information that one has heard/I hear that .../it is said that ...]'],['よし'],"['｜', '日', '田']",['由'],[3],['象形 Pictographic'],[3],[148001],[107549],['S'],闊,2510,17,[],[],"['口', '氵', '舌', '門']",,,,,,,,達,2416,12,"[' pluralizing suffix (esp. for people and animals; formerly honorific),', ' friend]']","['たち', 'だち']","['王', '辶', '土', '并', '羊']",['達'],[4],['形声 Phonetic'],[3],[85674],[72381],['P'],自由,[' freedom/liberty]'],['じゆう'],自由,[' freedom/liberty]'],['じゆう']
73,隔靴掻痒,['n'],かっかそうよう,隔,2540,13,[' every other/second/alternate]'],['かく'],"['一', '口', '儿', '冂', '⻖', '鬲']",['隔'],[7],['形声 Phonetic'],[1],[8796],[8796],['S'],靴,2587,13,[' shoe/shoes/boots/footwear/footgear]'],['くつ'],"['⺅', '革', '匕']",['靴'],[7],['形声 Phonetic'],[3],[6310],[6282],['S'],掻,987,11,[],[],"['虫', '又', '扌']",,,,,,,,痒,1600,11,[],[],"['王', '并', '羊', '疒']",,,,,,,,隔靴,[],[],隔靴,[],[]
78,孟母三遷,"['exp,n']",もうぼさんせん,孟,574,8,[],[],"['皿', '子']",,,,,,,,母,1279,5,[' mother]'],['はは'],"['母', '毋']",['母'],[2],['象形 Pictographic'],[5],[90001],[89057],['S'],三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R'],遷,2421,15,[],[],"['辶', '西', '大', '已']",['遷'],[7],['形声 Phonetic'],[1],[1810],[1802],['S'],孟母,[],[],孟母,[],[]
81,瓜田李下,"['exp,n']",かでんりか,瓜,1559,6,[' melon/gourd]'],['うり'],"['瓜', '厶']",,,,,,,,田,1571,5,[' rice field]'],['た'],['田'],['田'],[1],['象形 Pictographic'],[4],[678926],[30445],['P'],李,1149,7,[' Japanese plum (Prunus salicina)/Chinese plum]'],['すもも'],"['子', '木']",,,,,,,,下,9,3,"["" below/down/under/younger (e.g. daughter) bottom beneath/underneath just after/right after inferiority/one's inferior (i.e. one's junior) trade-in preliminary/preparatory,"", "" under (guidance, supervision, rules, the law, etc.) under (a flag, the sun, etc.)/beneath with (e.g. one blow)/on (the promise, condition, assumption, etc. that ...)/in (e.g. the name of) (somebody's) side/(somebody's) location,"", ' lowness (of degree, value, etc.)/inferiority second volume (of two)/third volume (of three),', ' lower reaches (of a river) bottom/lower part lower half (of the body, esp. the privates)/feces (faeces)/urine/menses end/far from the imperial palace (i.e. far from Kyoto, esp. of western Japan) dirty (e.g. dirty jokes, etc.),', ' under (influence, control, conditions, etc. of)/during (war, occupation, etc.)]']","['した', 'もと', 'げ', 'しも', 'か']","['｜', '一', '卜']",['下'],[1],['指事 Ideographic'],[5],[390613],[328608],['S'],瓜田,[' melon field/melon patch]'],['かでん'],瓜田,[' melon field/melon patch]'],['かでん']
84,放蕩無頼,"['n,adj-no']",ほうとうぶらい,放,1035,8,[],[],"['方', '攵']",['放'],[3],['会意 Com. Ideographic'],[3],[153676],[147578],['R'],蕩,2065,15,[],[],"['｜', '一', '氵', '日', '⺾', '勿']",,,,,,,,無,1464,12,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']","['｜', 'ノ', '一', '灬', '無']",['無'],[4],['仮借 Loan'],[2],[225588],[224748],['R'],頼,2611,16,[],[],"['｜', '貝', '目', '口', 'ハ', '頁', '木']",['頼'],[7],['形声 Phonetic'],[3],[52229],[50439],['.'],放蕩,[' dissipation/prodigality/debauchery]'],['ほうとう'],放蕩,[' dissipation/prodigality/debauchery]'],['ほうとう']
85,春風駘蕩,"['adj-no,adj-t,adv-to']",しゅんぷうたいとう,春,1092,9,"["" spring/springtime New Year prime (of life)/height (of one's prosperity)/heyday adolescence/puberty sexuality/sexual desire]""]",['はる'],"['一', '二', '日', '人']",['春'],[2],['形声 Phonetic'],[4],[87078],[62227],['S'],風,2623,9,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']","['風', '冂', '虫', 'ノ']",['風'],[2],['形声 Phonetic'],[4],[98812],[95284],['S'],駘,2654,15,[],[],"['口', '馬', '厶']",,,,,,,,蕩,2065,15,[],[],"['｜', '一', '氵', '日', '⺾', '勿']",,,,,,,,春風,[' spring breeze]'],['はるかぜ'],春風,[' spring breeze]'],['はるかぜ']
