,yoji,j1,j1_Meanings,j1_Readings,j2,j2_Meanings,j2_Readings,j3,j3_Meanings,j3_Readings,j4,j4_Meanings,j4_Readings,j12,j12_Meanings,j12_Readings,j34,j34_Meanings,j34_Readings
27,影裏作戦,影,"["" shadow/silhouette/figure/shape reflection/image ominous sign light (stars, moon) trace/shadow (of one's former self)]""]",['かげ'],裏,"[' bottom (or another side that is hidden from view)/undersurface/opposite side/reverse side rear/back/behind (the house) lining/inside out of sight/behind the scenes/in the shadows proof opposite (of a prediction, common sense, etc.) inverse (of a hypothesis, etc.) bottom (of an inning)/last half (of an inning)]']",['うら'],作,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],戦,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/competition]']","['いくさ', 'せん']",影裏,[],[],作戦,[' tactics/strategy military or naval operations]'],['さくせん']
28,勘定付加,勘,[' perception/intuition/the sixth sense]'],['かん'],定,[' certainly/truly]'],['さだ'],付,[' dated (e.g. a letter)/date of effect (e.g. a rule change)]'],['づけ'],加,[' addition/increase Canada]'],['か'],勘定,[' calculation/computation/counting/reckoning/count bill/check/account/payment (of a bill)/settlement (of an account) consideration/allowance]'],['かんじょう'],付加,[' addition/annexation/appendage]'],['ふか']
29,主義輪廻,主,"[' chief/main/principal/important main secondary or supporting role (in kyogen),', "" (one's) master Lord (Christian ref. to Jesus or God) the main thing/the majority/the primary concern,"", ' head (of a household, etc.)/leader/master owner/proprietor/proprietress subject (of a rumour, etc.)/doer (of a deed) guardian spirit (e.g. long-resident beast, usu. with mystical powers)/long-time resident (or employee, etc.) husband you,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady one's husband (one's) employer/(one's) master host/hostess,"", ' you,', ' honorific (or familiar) suffix used after a name,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady/master (of a servant) entertaining someone as one's guest]""]","['おも', 'しゅ', 'ぬし', 'しゅじん', 'にし', 'す', 'あるじ']",義,[' morality/righteousness/justice/honour (honor) meaning teachings/doctrine nonconsanguineous relationship (i.e. of in-laws) prosthesis]'],['ぎ'],輪,"[' counter for wheels and flowers,', ' ring/circle/loop hoop wheel circle (e.g. of friends)]']","['りん', 'わ']",廻,[],[],主義,[' doctrine/rule/principle/-ism]'],['しゅぎ'],輪廻,[' samsara/endless cycle of death and rebirth]'],['りんね']
30,奔泉不足,奔,[],[],泉,[' spring/fountain]'],['いずみ'],不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",足,"[' foot leg gait pace bottom structural component (i.e. radical) of a kanji means of transportation money/coin,', ' counter for pairs (of socks, shoes, etc.)]']","['あし', 'そく']",奔泉,[],[],不足,[' insufficiency/shortage/deficiency/lack/dearth]'],['ふそく']
31,無垢之臣,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",垢,"[' dirt/filth/grime account (e.g. online service),', ' klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)]']","['あか', 'く']",之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",臣,"[' retainer/attendant Omi (hereditary title; orig. one of the two highest such titles, later demoted to sixth highest of eight) I (used by a servant when speaking to his master)/me,', ' slave retainer/servant captive varlet I/me]']","['おみ', 'やつこ']",無垢,[' purity]'],['むく'],之臣,[],[]
32,走肉無門,走,[' run/race]'],['そう'],肉,[' flesh meat the physical body (as opposed to the spirit) thickness ink pad]'],['にく'],無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",門,"[' door (esp. Japanese-style) shutter/window shutter entrance (to a home) narrows,', ' gate branch of learning based on the teachings of a single master division/phylum counter for cannons]']","['と', 'もん']",走肉,[],[],無門,[],[]
33,勁草穿石,勁,[],[],草,"[' grass/weed/herb/thatch ninja not genuine/substandard laughter/LOL,', ' draft/rough copy cursive script/""grass"" kanji]']","['くさ', 'そう']",穿,[],[],石,"[' stone gem/jewel,', "" measure of volume (approx. 180.39 liters,37 cub. ft.) measure of a Japanese-style boat's loading capacity (approx. 278.26 liters)]""]","['いし', 'こく']",勁草,[' wind-resistant blade of grass/resistant idea (metaphorically)]'],['けいそう'],穿石,[],[]
34,十色根性,十,"[' ten, シー', ' ten]']",['じゅう'],色,"[' colour/color complexion appearance/look love/lust/sensuality/love affair/lover kind/type/variety,', ' counter for colours,', ' rupa (form) visible objects (i.e. color and form)]']","['いろ', 'しょく', 'しき']",根,"["" root (of a plant) root (of a tooth, hair, etc.)/center (of a pimple, etc.) root (of all evil, etc.)/source/origin/cause/basis one's true nature (fishing) reef,"", ' stick-to-itiveness/perseverance/persistence radical (esp. one that tends to ionize easily) root indriya (faculty of the body having a specific function, i.e. the sensory organs)]']","['ね', 'こん']",性,"["" one's nature/one's destiny custom/tradition/habit,"", ' nature (of a person) sex gender -ty/-ity/-ness/-cy,', ' nature (of a person or thing) that which does not change according to external influences]']","['さが', 'せい', 'しょう']",十色,[],[],根性,[' willpower/guts/determination/grit/spirit character/nature/disposition/personality]'],['こんじょう']
35,関係閃電,関,"[' barrier/gate seki (in go)/mutual life,', ' honorific added to names of makuuchi and juryo division wrestlers]']","['せき', 'ぜき']",係,"[' charge/duty/person in charge/official/clerk connection/linking,', ' charge/duty/person in charge/official/clerk]']","['かかり', 'がかり']",閃,[],[],電,[' lightning/flash of lightning/lightning bolt]'],['いなずま'],関係,[' relation/relationship/connection participation/involvement/concern influence/effect sexual relations/sexual relationship related to .../connected to ...]'],['かんけい'],閃電,[' flash of lightning]'],['せんでん']
36,囃子天地,囃,"[' accompaniment for traditional performances (noh, kabuki, etc.)/orchestra/band]']",['はやし'],子,"[' child young (animal) young woman/young geisha offshoot interest new shares player who is not a dealer (in cards, mahjong, etc.) bird egg -er (often of young women),', ' first sign of Chinese zodiac (The Rat, 11pm-1am, north, November),', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" child (esp. a boy) viscount master (founder of a school of thought, esp. Confucius) philosophy (branch of Chinese literature)/non-Confucian Hundred Schools of Thought writings you (of one's equals) -er (i.e. a man who spends all his time doing...),"", ' honorific (or familiar) suffix used after a name,', ' child interest]']","['こ', 'ね', 'み', 'し', 'す', 'こう']",天,[' sky heaven svarga (heaven-like realm visited as a stage of death and rebirth) deva (divine being of Buddhism)]'],['てん'],地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",囃子,"[' accompaniment for traditional performances (noh, kabuki, etc.)/orchestra/band]']",['はやし'],天地,[' heaven and earth/the universe/nature/top and bottom/realm/sphere/world top and bottom gods of heaven and earth]'],['てんち']
37,曲直吉日,曲,"[' song/tune/composition/piece of music,', ' corner/nook/recess a shadow/a shade,', ' wickedness/evil/calamity/disaster,', ' long segment of a noh play forming its musical highlight wrong/improper/indecent]']","['きょく', 'くま', 'まが', 'くせ']",直,"[' straight ordinary/common doing nothing,', ' earnestly/immediately/exactly,', ' price/cost value/worth/merit value/count/number variable (computer programming, programing),', ' soon/in a moment/before long/shortly nearby/close direct spot transaction/cash transaction,', ' direct/in person/frankness/honesty/simplicity/cheerfulness/correctness/being straight night duty/shift (e.g. in a factory),', ' Atai (post-Taika hereditary title often given to regional administrators),', ' direct,', ' straight/direct]']","['なお', 'ひた', 'あたい', 'じき', 'ちょく', 'あたい', 'じか', 'ただ']",吉,[' good fortune (esp. omikuji fortune-telling result)/good luck/auspiciousness]'],['きち'],日,"[' day/days sun/sunshine/sunlight case (esp. unfortunate)/event,', ' Sunday day (of the month) counter for days Japan,', ' day of month counter for days]']","['ひ', 'にち', 'か']",曲直,[' merits (of a case)/right or wrong]'],['きょくちょく'],吉日,"[' lucky day an unspecified day of the month, used on diplomas, proclamations, etc.]']",['きちじつ']
38,同工一桁,同,[' the same/the said/ibid.]'],['どう'],工,"[' workman/artisan/mechanic/carpenter craft/skill means/idea,', ' (factory) worker]']","['たくみ', 'こう']",一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",桁,[' column/beam/girder/crossbeam/spar/yard digit/decade/order of magnitude]'],['けた'],同工,[],[],一桁,"[' one digit/one column/the ""ones"" column]']",['ひとけた']
